api_name,string_addr,table_entry,func_ptr,func_rva,func_name,func_defined
OpenODF,0x5d0f44,0x5d2478,0x41985e,0x1985e,OpenODF,true
GetODFBool,0x5d0f38,0x5d2480,0x419910,0x19910,GetODFBool,true
GetODFInt,0x5d0f2c,0x5d2488,0x4199be,0x199be,GetODFInt,true
GetODFFloat,0x5d0f20,0x5d2490,0x419a4d,0x19a4d,GetODFFloat,true
GetODFString,0x5d0f10,0x5d2498,0x419aea,0x19aea,GetODFString,true
GetTerrainHeightAndNormal,0x5d0ef4,0x5d24a0,0x419b87,0x19b87,GetTerrainHeightAndNormal,true
GetFloorHeightAndNormal,0x5d0edc,0x5d24a8,0x419c48,0x19c48,GetFloorHeightAndNormal,true
GetMissionFilename,,,,,,MISSING
GetMapTRNFilename,0x5d0ec8,0x5d24b0,0x419d0a,0x19d0a,GetMapTRNFilename,true
UseItem,,,,,,MISSING
ColorFade,,,,,,MISSING
SetVector,0x5d171c,0x5d1fd8,0x41bace,0x1bace,SetVector,true
DotProduct,0x5d1710,0x5d1fe0,0x41bb2e,0x1bb2e,DotProduct,true
CrossProduct,0x5d1700,0x5d1fe8,0x41bb6f,0x1bb6f,CrossProduct,true
Normalize,0x5d16f4,0x5d1ff0,0x41bbba,0x1bbba,Normalize,true
Length,0x5d16ec,0x5d1ff8,0x41bbf8,0x1bbf8,Length,true
LengthSquared,0x5d16dc,0x5d2000,0x41bc28,0x1bc28,LengthSquared,true
Distance2D,0x5d16d0,0x5d2008,0x41bc5e,0x1bc5e,Distance2D,true
Distance2DSquared,0x5d16bc,0x5d2010,0x41bca1,0x1bca1,Distance2DSquared,true
Distance3D,0x5d16b0,0x5d2018,0x41bce2,0x1bce2,Distance3D,true
Distance3DSquared,0x5d169c,0x5d2020,0x41bd2c,0x1bd2c,Distance3DSquared,true
SetMatrix,0x5d1690,0x5d2028,0x41bd76,0x1bd76,SetMatrix,true
BuildAxisRotationMatrix,0x5d1678,0x5d2030,0x41721b,0x1721b,BuildAxisRotationMatrix,true
BuildPositionRotationMatrix,0x5d165c,0x5d2038,0x41730f,0x1730f,BuildPositionRotationMatrix,true
BuildOrthogonalMatrix,0x5d1644,0x5d2040,0x417408,0x17408,BuildOrthogonalMatrix,true
BuildDirectionalMatrix,0x5d162c,0x5d2048,0x41746f,0x1746f,BuildDirectionalMatrix,true
PortalOut,,,,,,MISSING
PortalIn,,,,,,MISSING
DeactivatePortal,,,,,,MISSING
ActivatePortal,,,,,,MISSING
IsIn,,,,,,MISSING
BuildObjectAtPortal,,,,,,MISSING
Cloak,,,,,,MISSING
Decloak,,,,,,MISSING
SetCloaked,,,,,,MISSING
SetDecloaked,,,,,,MISSING
IsCloaked,,,,,,MISSING
EnableCloaking,,,,,,MISSING
EnableAllCloaking,,,,,,MISSING
Hide,,,,,,MISSING
UnHide,,,,,,MISSING
MakeExplosion,,,,,,MISSING
