module_name,object_name,stream,symbol_size,source_file_count,range_section,range_offset,range_size,flags
E:\BattleZoneTest\build\obj\Release\battlezone\Dispenser.obj,E:\BattleZoneTest\build\obj\Release\battlezone\Dispenser.obj,125,5460,15,1,334224,279,0
E:\BattleZoneTest\build\obj\Release\battlezone\DisplayInterface.obj,E:\BattleZoneTest\build\obj\Release\battlezone\DisplayInterface.obj,126,21712,45,1,339472,73,0
E:\BattleZoneTest\build\obj\Release\battlezone\DistributedObject.obj,E:\BattleZoneTest\build\obj\Release\battlezone\DistributedObject.obj,127,97504,63,1,354256,59,0
E:\BattleZoneTest\build\obj\Release\battlezone\DrawUtils.obj,E:\BattleZoneTest\build\obj\Release\battlezone\DrawUtils.obj,128,2292,6,1,356608,205,0
E:\BattleZoneTest\build\obj\Release\battlezone\dsutil.obj,E:\BattleZoneTest\build\obj\Release\battlezone\dsutil.obj,129,4980,7,1,357104,102,0
E:\BattleZoneTest\build\obj\Release\battlezone\DustEffect.obj,E:\BattleZoneTest\build\obj\Release\battlezone\DustEffect.obj,130,3764,14,1,7952,32,0
E:\BattleZoneTest\build\obj\Release\battlezone\EarthQuake.obj,E:\BattleZoneTest\build\obj\Release\battlezone\EarthQuake.obj,131,5940,13,1,7984,31,0
E:\BattleZoneTest\build\obj\Release\battlezone\EditTerrain.obj,E:\BattleZoneTest\build\obj\Release\battlezone\EditTerrain.obj,132,50600,65,1,387280,42,0
E:\BattleZoneTest\build\obj\Release\battlezone\EngineFlame.obj,E:\BattleZoneTest\build\obj\Release\battlezone\EngineFlame.obj,133,3128,15,1,8048,21,0
E:\BattleZoneTest\build\obj\Release\battlezone\EngineSplash.obj,E:\BattleZoneTest\build\obj\Release\battlezone\EngineSplash.obj,134,2244,15,1,8080,21,0
E:\BattleZoneTest\build\obj\Release\battlezone\Explosion.obj,E:\BattleZoneTest\build\obj\Release\battlezone\Explosion.obj,135,12888,28,1,391200,64,0
E:\BattleZoneTest\build\obj\Release\battlezone\ExplosionClass.obj,E:\BattleZoneTest\build\obj\Release\battlezone\ExplosionClass.obj,136,13828,1149,1,395904,1876,0
E:\BattleZoneTest\build\obj\Release\battlezone\Factory.obj,E:\BattleZoneTest\build\obj\Release\battlezone\Factory.obj,137,388,18,1,398912,75,0
E:\BattleZoneTest\build\obj\Release\battlezone\FactoryClass.obj,E:\BattleZoneTest\build\obj\Release\battlezone\FactoryClass.obj,138,2052,16,1,8240,194,0
E:\BattleZoneTest\build\obj\Release\battlezone\FactoryProcess.obj,E:\BattleZoneTest\build\obj\Release\battlezone\FactoryProcess.obj,139,3016,17,1,399856,84,0
E:\BattleZoneTest\build\obj\Release\battlezone\FileUtil.obj,E:\BattleZoneTest\build\obj\Release\battlezone\FileUtil.obj,140,29660,13,1,399952,220,0
E:\BattleZoneTest\build\obj\Release\battlezone\FireballEffect.obj,E:\BattleZoneTest\build\obj\Release\battlezone\FireballEffect.obj,141,4252,15,1,8512,21,0
E:\BattleZoneTest\build\obj\Release\battlezone\FlagDisplay.obj,E:\BattleZoneTest\build\obj\Release\battlezone\FlagDisplay.obj,142,5240,18,1,8544,62,0
E:\BattleZoneTest\build\obj\Release\battlezone\FlamePuff.obj,E:\BattleZoneTest\build\obj\Release\battlezone\FlamePuff.obj,143,5100,17,1,414256,423,0
E:\BattleZoneTest\build\obj\Release\battlezone\FlareMine.obj,E:\BattleZoneTest\build\obj\Release\battlezone\FlareMine.obj,144,4536,22,1,415600,392,0
E:\BattleZoneTest\build\obj\Release\battlezone\FollowGroup.obj,E:\BattleZoneTest\build\obj\Release\battlezone\FollowGroup.obj,145,9880,13,1,8672,26,0
E:\BattleZoneTest\build\obj\Release\battlezone\FollowTask.obj,E:\BattleZoneTest\build\obj\Release\battlezone\FollowTask.obj,146,6408,22,1,418240,186,0
E:\BattleZoneTest\build\obj\Release\battlezone\GameCommon.obj,E:\BattleZoneTest\build\obj\Release\battlezone\GameCommon.obj,147,1216,1147,1,8752,11,0
E:\BattleZoneTest\build\obj\Release\battlezone\GameFeature.obj,E:\BattleZoneTest\build\obj\Release\battlezone\GameFeature.obj,148,66560,16,1,433120,147,0
E:\BattleZoneTest\build\obj\Release\battlezone\GameObject.obj,E:\BattleZoneTest\build\obj\Release\battlezone\GameObject.obj,149,43672,1246,1,433280,112,0
