legacy_entry_va	bsim_redux_va	legacy_name	legacy_namespace	combined_confidence	bsim_similarity	bsim_significance	bsim_agreement
0x005bde09	0x8393b8	read_string	Global	very_high	0.8882	194.30	exact
0x005bd71d	0x839600	save	Global	very_high	0.9960	58.12	exact
0x005bda9a	0x8396f7	trydecpoint	Global	very_high	0.6613	28.78	exact
0x005c3977	0x83975c	adjust_assign	Global	high	0.9862	55.10	bsim_only
0x005c36d3	0x8397cc	adjustlocalvars	Global	very_high	1.0000	50.90	exact
0x005c4a0c	0x839a51	breakstat	Global	very_high	0.9643	66.06	exact
0x005c486a	0x839ad3	check_conflict	Global	high	1.0000	65.66	bsim_only
0x005c3bf2	0x839c1c	close_func	Global	high	0.9980	155.96	bsim_only
0x005c39da	0x83a034	enterlevel	Global	very_high	0.9625	22.59	exact
0x005c34b8	0x83a089	errorlimit	Global	very_high	0.6777	19.87	exact
0x005c4e99	0x83a4e0	forstat	Global	very_high	0.7003	26.43	exact
0x005c42fc	0x83a565	funcargs	Global	very_high	0.8817	82.42	exact
0x005c373a	0x83a84e	indexupvalue	Global	high	0.9726	126.22	bsim_only
0x005c3b43	0x83abfa	open_func	Global	high	1.0000	84.11	bsim_only
0x005c446d	0x83ad61	primaryexp	Global	very_high	0.6935	43.72	exact
0x005c35fc	0x83b012	registerlocalvar	Global	very_high	0.9985	85.10	exact
0x005c4589	0x83b250	simpleexp	Global	very_high	0.9066	81.23	exact
0x005c3883	0x83b3a9	singlevaraux	Global	high	1.0000	120.40	bsim_only
0x005c54ce	0x83b798	LoadBlock	Global	very_high	1.0000	19.88	exact
0x005c55eb	0x83b7e1	LoadConstants	Global	very_high	0.9954	173.98	exact
0x005c5887	0x83bac1	LoadFunction	Global	very_high	0.7583	94.70	exact
0x005c550f	0x83bbeb	LoadInt	Global	very_high	1.0000	18.04	exact
0x005c5d47	0x83bd73	addk	Global	very_high	0.9409	101.74	exact
0x005c5af2	0x83c362	fixjump	Global	very_high	0.9702	41.28	exact
0x005c5ccd	0x83c4ff	luaK_checkstack	Global	very_high	1.0000	34.91	exact
0x005c6086	0x83c537	luaK_code	Global	very_high	0.9377	54.27	exact
0x005c66b1	0x83cef1	luaK_storevar	Global	high	1.0000	55.97	bsim_only
0x005c6e10	0x83f040	_ftol2_sse	Global	high	1.0000	78.45	bsim_only
0x005c6e46	0x83f076	_ftol2	Global	high	1.0000	69.61	bsim_only
0x005c7a10	0x83f290	_FindPESection	Global	high	1.0000	56.36	bsim_only
0x005c7540	0x844250	_alldiv	Global	high	1.0000	158.41	bsim_only
0x005c7630	0x844490	_allshl	Global	high	1.0000	40.66	bsim_only
