api_name,string_addr,table_entry,func_ptr,func_rva,func_name,func_defined
IsBusy,0x87cb1c,0x872098,0x5040f0,0x1040f0,FUN_005040f0,true
GetCurrentCommand,0x87cb24,0x8720a0,0x504130,0x104130,FUN_00504130,true
GetCurrentWho,0x87cb38,0x8720a8,0x504170,0x104170,FUN_00504170,true
GetIndependence,0x87cc24,0x8720b8,0x5041f0,0x1041f0,FUN_005041f0,true
SetIndependence,0x87cb48,0x8720b0,0x5041b0,0x1041b0,FUN_005041b0,true
SetCommand,0x87cc34,0x8720c0,0x504230,0x104230,FUN_00504230,true
Attack,0x877f48,0x8720c8,0x504440,0x104440,FUN_00504440,true
Goto,0x877a99,0x8720d0,0x5044a0,0x1044a0,FUN_005044a0,true
Mine,0x87cc48,0x8720d8,0x5045d0,0x1045d0,FUN_005045d0,true
Follow,0x877f68,0x8720e0,0x5046c0,0x1046c0,FUN_005046c0,true
IsFollowing,0x87cf4c,0x872358,0x5078d0,0x1078d0,FUN_005078d0,true
Defend,0x877f50,0x8720e8,0x504720,0x104720,FUN_00504720,true
Defend2,0x87cc50,0x8720f0,0x504760,0x104760,FUN_00504760,true
Stop,0x87cc58,0x8720f8,0x5047c0,0x1047c0,FUN_005047c0,true
Patrol,0x87cc60,0x872100,0x504800,0x104800,FUN_00504800,true
Retreat,0x87cc68,0x872108,0x504860,0x104860,FUN_00504860,true
GetIn,0x87cbd8,0x872110,0x5048f0,0x1048f0,FUN_005048f0,true
Pickup,0x87cbe0,0x872118,0x504950,0x104950,FUN_00504950,true
Dropoff,0x87cbe8,0x872120,0x5049b0,0x1049b0,FUN_005049b0,true
Build,0x877f08,0x872128,0x504a70,0x104a70,FUN_00504a70,true
BuildAt,0x87cbf0,0x872130,0x504ad0,0x104ad0,BuildAt,true
Formation,0x87cf64,0x872370,0x5079b0,0x1079b0,FUN_005079b0,true
Hunt,0x877edc,0x8722d8,0x507380,0x107380,FUN_00507380,true
HasCargo,0x87cbf8,0x872138,0x504be0,0x104be0,FUN_00504be0,true
GetCargo,0x87cf58,0x872360,0x507930,0x107930,FUN_00507930,true
GetTug,0x87ccb0,0x8721c8,0x505050,0x105050,FUN_00505050,true
EjectPilot,0x87cc04,0x872140,0x504c20,0x104c20,FUN_00504c20,true
HopOut,0x87cc10,0x872148,0x504c50,0x104c50,FUN_00504c50,true
KillPilot,0x87cc18,0x872150,0x504c80,0x104c80,FUN_00504c80,true
RemovePilot,0x87ccc4,0x872158,0x504cb0,0x104cb0,FUN_00504cb0,true
HoppedOutOf,0x87ccd0,0x872160,0x504ce0,0x104ce0,FUN_00504ce0,true
GetHealth,0x87ccdc,0x872168,0x504d20,0x104d20,FUN_00504d20,true
GetCurHealth,0x87cce8,0x872170,0x504d60,0x104d60,FUN_00504d60,true
GetMaxHealth,0x87ccf8,0x872178,0x504da0,0x104da0,FUN_00504da0,true
SetCurHealth,0x87cd08,0x872180,0x504de0,0x104de0,FUN_00504de0,true
SetMaxHealth,0x87cd18,0x872188,0x504e30,0x104e30,FUN_00504e30,true
AddHealth,0x87cd28,0x872190,0x504e80,0x104e80,FUN_00504e80,true
GiveMaxHealth,0x87cf08,0x872338,0x5076e0,0x1076e0,FUN_005076e0,true
GetAmmo,0x87cc70,0x872198,0x504ed0,0x104ed0,FUN_00504ed0,true
GetCurAmmo,0x87cc78,0x8721a0,0x504f10,0x104f10,FUN_00504f10,true
GetMaxAmmo,0x87cc84,0x8721a8,0x504f50,0x104f50,FUN_00504f50,true
SetCurAmmo,0x87cc90,0x8721b0,0x504f90,0x104f90,FUN_00504f90,true
SetMaxAmmo,0x87cc9c,0x8721b8,0x504fd0,0x104fd0,FUN_00504fd0,true
AddAmmo,0x87cca8,0x8721c0,0x505010,0x105010,FUN_00505010,true
GiveMaxAmmo,0x87d02c,0x872378,0x507a00,0x107a00,FUN_00507a00,true
CameraReady,0x87ccb8,0x8721d0,0x505090,0x105090,FUN_00505090,true
CameraPath,0x87cd94,0x8721d8,0x5050b0,0x1050b0,FUN_005050b0,true
CameraPathDir,0x87cda0,0x8721e0,0x505130,0x105130,FUN_00505130,true
PanDone,0x87cdb0,0x8721e8,0x5051a0,0x1051a0,FUN_005051a0,true
CameraObject,0x87cdb8,0x8721f0,0x5051c0,0x1051c0,FUN_005051c0,true
CameraFinish,0x87cdc8,0x8721f8,0x505250,0x105250,FUN_00505250,true
CameraCancelled,0x87cdd8,0x872200,0x505270,0x105270,FUN_00505270,true
IsInfo,0x87cde8,0x872208,0x505290,0x105290,FUN_00505290,true
IsNetGame,0x87cdf0,0x872210,0x505310,0x105310,FUN_00505310,true
IsHosting,0x87cd34,0x872218,0x505330,0x105330,FUN_00505330,true
SetLocal,0x87c520,0x871cd0,0x500590,0x100590,FUN_00500590,true
